report_link,report_url,GrossProduction,DryProduction,CanadianImports,West(Net),MidWest(Net),Northeast(Net),LNGImports,TotalSupply,U.S. Consumption - Gas Week,start,end,U.S.Consumption,Power,Industrial,Residential/Commercial,TotalDemand
"NaturalGasPowerBurnUp,EveninaWarmerWinter",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/03_01/,7.67%,8.57%,-1.75%,8.10%,9.39%,-22.47%,-37.40%,7.02%," (2/22/12 - 2/29/12)
", 2/22/12 ," 2/29/12
",0.20%,33.49%,1.07%,-13.48%,0.20%
"AGTpipelinereceiptsfromMillenniumPipelineandTennesseeGasPipelineincreased56percentinDecember2012comparedtoDecember2011,whiletotalreceiptsremainedunchangedoverthesameperiod.",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/12_20/,1.82%,1.80%,-19.28%,-25.70%,-6.93%,-17.57%,-56.12%,-0.53%," (12/12/12 - 12/19/12)
", 12/12/12 ," 12/19/12
",-5.27%,-6.49%,-1.95%,-6.39%,-4.93%
WorkingNaturalGasinStorageatAll-TimeHighforMarch.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/04_05/,3.90%,4.35%,-4.41%,11.69%,5.28%,-45.49%,-68.26%,2.65%," (3/28/12 - 4/4/12)
", 3/28/12 ," 4/4/12
",0.15%,41.87%,-2.52%,-22.78%,0.06%
Crudeoil-to-naturalgaspriceratiopasses50,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/03_08/,6.70%,7.49%,8.19%,23.47%,7.53%,-11.46%,-68.53%,6.02%," (2/28/12 - 3/7/12)
", 2/28/12 ," 3/7/12
",3.76%,36.05%,0.52%,-8.72%,3.40%
JapanPowerGenerationMixandGlobalLNGFlows.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/03_29/,4.40%,4.90%,-16.50%,-1.70%,19.70%,-64.90%,-41.90%,2.50%," (3/21/12 - 3/28/12)
", 3/21/12 ," 3/28/12
",-15.00%,32.80%,-5.30%,-42.90%,-14.80%
CaliforniaFacesMultipleSupplyConstraints,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/04_19/,5.70%,5.72%,-6.66%,-8.41%,14.61%,-50.60%,-64.80%,3.91%," (4/11/12 - 4/18/12)
", 4/11/12 ," 4/18/12
",6.78%,37.72%,-0.82%,-11.64%,6.12%
"EIA'sAprilShort-TermEnergyOutlook(STEO),releasedonApril10,reviseditspriceforecastthrough2013downward.",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/04_12/,5.34%,5.36%,-1.98%,-0.49%,20.74%,-50.02%,-56.64%,4.17%," (4/4/12 - 4/11/12)
", 4/4/12 ," 4/11/12
",10.00%,23.73%,2.53%,5.26%,9.46%
FERCStaffIssuesEnvironmentalImpactStatementforPipelineintoNewYorkCity.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/03_22/,5.83%,6.50%,-6.86%,6.05%,16.64%,-59.73%,-54.99%,4.66%," (3/14/12 - 3/21/12)
", 3/14/12 ," 3/21/12
",-0.41%,49.43%,-2.85%,-28.14%,-0.25%
AlternativeTransportationFuelsInfrastructureIncreasesfromMid-2000sLevels.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/03_15/,5.41%,6.03%,-5.97%,23.95%,-10.68%,-47.13%,-63.94%,4.02%," (3/7/12 - 3/14/12)
", 3/7/12 ," 3/14/12
",-4.61%,29.64%,-1.99%,-23.67%,-4.70%
NYMEXPricesfortheComing12MonthsRemainLow.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/04_26/,4.04%,4.05%,-8.38%,0.81%,-4.48%,-45.25%,-56.76%,2.40%," (4/18/12 - 4/25/12)
", 4/18/12 ," 4/25/12
",7.64%,25.11%,2.32%,-3.61%,7.58%
ReportednaturalgasgrosswithdrawalsforFebruarydecline.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/05_03/,5.17%,5.19%,-0.83%,4.68%,-1.89%,-15.77%,-79.20%,3.02%," (4/25/12 - 5/2/12)
", 4/25/12 ," 5/2/12
",16.21%,41.30%,1.88%,5.66%,15.47%
RecentWarmTemperaturesinthePacificNorthwestMightAffectHydroSupplyintheSummer.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/05_17/,3.67%,3.68%,1.49%,10.35%,0.53%,-30.75%,-57.50%,2.81%," (5/9/12 - 5/16/12)
", 5/9/12 ," 5/16/12
",6.16%,26.82%,0.67%,-11.87%,6.22%
NaturalGasRigCountBrieflyDropsBelow600.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/05_24/,3.63%,3.65%,9.22%,11.84%,14.07%,-16.78%,-67.80%,2.81%," (5/16/12 - 5/23/12)
", 5/16/12 ," 5/23/12
",8.46%,33.52%,0.31%,-13.43%,8.98%
IntheNews:CanaportLNGUndergoingMaintenance.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/05_10/,4.07%,4.09%,-3.44%,0.03%,2.14%,-32.45%,-60.70%,2.92%," (5/2/12 - 5/9/12)
", 5/2/12 ," 5/9/12
",9.23%,44.01%,-1.10%,-16.74%,8.95%
PipelineExportstoMexicoHit7-YearHigh.,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2012/06_07/,2.57%,2.58%,19.32%,16.95%,27.27%,2.21%,-73.50%,2.69%," (5/30/12 - 6/6/12)
", 5/30/12 ," 6/6/12
",5.37%,3.30%,3.29%,13.36%,5.85%
