report_link,report_url,Grossproduction,Dryproduction,Canadianimports,West(net),Midwest(net),Northeast(net),LNGimports,Totalsupply,U.S. consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Totaldemand
Workingstorageinventoriesremainhigh,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/03_03/,2.63%,2.60%,-13.41%,2.04%,33.64%,-84.96%,-4.16%,1.37%," (2/24/16 - 3/2/16)
", 2/24/16 ," 3/2/16
",-22.0%,4.6%,-8.8%,-38.8%,-20.8%
WoodfibreLNGbecomesthefirstCanadianLNGprojecttoreceiveFinalInvestmentDecision,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/11_17/,,72.1,,,,,,77.4,, 11/10/16 , 11/16/16,64.7,23.0,21.1,20.6,76.1
ChenieresSabinePassshipsfirstLNGcargofromtheU.S.Lower48,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/02_25/,2.92%,2.90%,-16.64%,7.68%,6.40%,-76.34%,-55.68%,0.71%," (2/17/16 - 2/24/16)
", 2/17/16 ," 2/24/16
",-28.7%,-4.8%,-11.0%,-46.0%,-27.3%
Naturalgasmarketsweatherstorm,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/01_28/,0.11%,0.11%,2.34%,-3.03%,36.61%,-22.47%,86.86%,0.61%," (1/20/16 - 1/27/16)
", 1/20/16 ," 1/27/16
",6.4%,14.1%,0.5%,5.4%,7.1%
EIAforecaststhattheUnitedStateswillbeanetexporterofnaturalgasinmid2017,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/01_14/,1.73%,1.71%,-21.92%,-1.04%,-25.19%,-56.23%,-74.41%,-1.66%," (1/6/16 - 1/13/16)
", 1/6/16 ," 1/13/16
",-12.2%,2.9%,-6.5%,-21.0%,-11.0%
ChineseannualLNGimportsdeclineforfirsttimesinceimportsbegan,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/02_04/,0.48%,0.48%,-15.73%,3.75%,24.66%,-86.09%,-28.46%,-1.03%," (1/27/16 - 2/3/16)
", 1/27/16 ," 2/3/16
",-14.8%,-1.2%,-4.5%,-25.8%,-13.3%
RockiesExpressPipeline(REX)winsfinalapprovalforMidwesteast-to-westcapacityexpansion,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/03_31/,-1.21%,-1.20%,-11.62%,12.55%,17.58%,-147.34%,25.97%,-1.85%," (3/23/16 - 3/30/16)
", 3/23/16 ," 3/30/16
",-4.4%,5.6%,-0.7%,-15.9%,-3.1%
Naturalgasstocksendheatingseasonatrecordhighlevel,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/04_07/,-0.9%,-0.8%,6.8%,5.9%,7.9%,8.0%,124.5%,-0.2%," (3/30/16 - 4/6/16)
", 3/30/16 ," 4/6/16
",8.9%,8.1%,2.4%,12.3%,9.9%
Consumptionofnaturalgasforpowergenerationatrecordhighs,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/01_21/,0.54%,0.54%,3.67%,-0.98%,32.62%,-24.68%,97.80%,1.36%," (1/13/16 - 1/20/16)
", 1/13/16 ," 1/20/16
",11.6%,13.2%,2.4%,15.3%,12.5%
GaspipelineexportstoMexicoreduceU.S.netimports,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2016/06_30/,,6.5,,,,,,,, 6/23/16 , 6/29/16,34.0,19.6,7.9,3.7,
