report_link,report_url,Marketedproduction,Dryproduction,NetCanadaimports,LNGpipelinedeliveries,Totalsupply,U.S. natural gas consumption - Gas Week,start,end,U.S.consumption,Power,Industrial,Residential/commercial,Mexicoexports,Pipelinefueluse/losses,LNGpipelinereceipts,Totaldemand
TheFederalEnergyRegulatoryCommission(FERC)entersano-quorumperiod,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/02_16/,78.4,70.0,6.4,0.2,76.6, (2/9/17 - 2/15/17), 2/9/17 , 2/15/17,76.9,21.0,22.1,33.8,4.1,6.1,2.0,89.0
forecastsproductionriseinsixoutofsevenshaleregions,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/02_23/,79.0,70.5,5.6,0.1,76.2, (2/16/17 - 2/22/17), 2/16/17 , 2/22/17,65.3,20.4,21.1,23.8,4.0,5.1,2.2,76.6
TheSanElizarioBorderCrossingProjectisauthorizedtocommenceservice,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/02_02/,78.9,70.4,5.8,0.2,76.3, (1/26/17 - 2/1/17), 1/26/17 , 2/1/17,84.3,21.7,22.7,39.9,4.0,6.6,1.8,96.7
U.S.liquefactioncapacitycontinuestoexpand,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/03_02/,79.1,70.5,4.8,0.1,75.4, (2/23/17 - 3/01/17), 2/23/17 , 3/01/17,70.6,22.3,21.5,26.8,3.9,5.6,1.5,81.6
Naturalgasspotpricesrisewithforecastsofcoldertemperaturesalongtheeasternseaboard,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/03_16/,79.0,70.5,6.2,0.0,76.7, (3/9/17 - 3/15/17), 3/9/17 , 3/15/17,83.7,24.4,22.6,36.7,3.9,7.4,2.0,96.9
TransCanadareducesandsimplifiestollratestoremaincompetitive,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/03_23/,78.7,70.2,5.9,0.0,76.2, (3/16/17 - 3/22/17), 3/16/17 , 3/22/17,70.8,22.2,21.5,27.1,3.8,6.2,2.2,83.0
RailprovidesoutletforgrowingAppalachianHGLproduction,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/02_09/,78.8,70.3,5.9,0.1,76.2, (2/2/17 - 2/8/17), 2/2/17 , 2/8/17,80.2,21.3,22.5,36.4,4.0,6.3,2.1,92.6
EIAreportstheearliestnetincreaseinworkinggasstocksonrecord,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/03_09/,79.1,70.5,5.4,0.0,75.9, (3/2/17 - 3/8/17), 3/2/17 , 3/8/17,73.2,21.7,21.8,29.7,3.9,6.4,1.2,84.7
Thirteengigawattsofnaturalgas-firedpowergeneratingcapacitytobeaddedin2017,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/03_30/,78.3,69.8,5.6,0.0,75.4, (3/23/17 - 3/29/17), 3/23/17 , 3/29/17,63.8,21.7,20.9,21.1,3.7,5.6,1.8,74.9
Naturalgasstocksendheatingseasonatthethirdhighestlevelin10years,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/04_13/,79.1,70.2,5.4,0.0,75.6, (4/6/17 - 4/12/17), 4/6/17 , 4/12/17,58.2,21.7,20.7,15.8,3.8,6.0,2.3,70.2
Heatingseasonspotpricesin201617averaged52%higherthanin201516,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/04_06/,78.4,69.9,5.6,0.0,75.6, (3/30/17 - 4/5/17), 3/30/17 , 4/5/17,62.5,22.9,20.9,18.7,3.9,6.2,2.1,74.6
Canadiandrillingdropsoffduringspringbreakup,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/04_27/,78.6,69.8,5.1,0.0,74.8, (4/20/17 - 4/26/17), 4/20/17 , 4/26/17,55.9,22.6,20.5,12.8,3.6,5.8,1.9,67.2
SoCalGasupdatesassessmentofsummerreliability,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/05_11/,79.7,70.8,6.3,0.0,77.0, (5/4/17 - 5/10/17), 5/4/17 , 5/10/17,57.2,22.7,20.5,14.0,4.0,6.5,2.3,70.0
ProposedexpansionofAlliancepipelinecapacitytoChicagomarkethub,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/04_20/,78.8,69.9,5.2,0.0,75.1, (4/13/17 - 4/19/17), 4/13/17 , 4/19/17,54.7,23.1,20.2,11.4,2.9,5.6,2.0,65.2
"Firstworld-scale,greenfieldnitrogenousfertilizerplantopenedinover25years",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/05_04/,78.9,70.0,6.0,0.0,76.0, (4/27/17 - 5/3/17), 4/27/17 , 5/3/17,57.7,24.7,20.4,12.6,4.1,6.2,2.1,70.1
Firstfloatingliquefactionfacilitybeginsoperations,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/05_18/,79.9,70.9,5.7,0.0,76.6, (5/11/17 - 5/17/17), 5/11/17 , 5/17/17,56.7,24.5,19.9,12.2,4.2,6.4,2.2,69.5
AdditionstodataintheEIA,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/01_26/,78.9,70.4,5.8,0.3,76.5, (1/19/17 - 1/25/17), 1/19/17 , 1/25/17,74.4,20.8,22.0,31.6,4.0,5.8,2.0,86.2
"NewliquefiednaturalgasbunkeringfacilityinJacksonville,Florida",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/05_25/,79.8,70.9,5.7,0.0,76.6, (5/18/17 - 5/24/17), 5/18/17 , 5/24/17,56.5,25.7,20.0,10.8,4.2,6.4,2.1,69.2
Mexicoconductsitsfirstnaturalgaspipelinecapacityopenseason,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/06_08/,80.9,71.9,5.6,0.0,77.4, (6/1/17 - 6/7/17), 6/1/17 , 6/7/17,54.2,26.5,19.8,7.9,3.7,6.0,2.2,66.1
TheUnitedKingdom'slargeststoragefacilitywillbeunavailableforinjectionsuntilMay2018orlater,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/06_01/,80.2,71.3,5.5,0.0,76.8, (5/25/17 - 5/31/17), 5/25/17 , 5/31/17,53.5,24.0,19.9,9.6,4.0,6.0,1.6,65.1
FirstU.S.floatingLNGexportfacilityreceivesapprovaltoexporttonon-FTAcountries,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/06_15/,80.6,71.6,5.7,0.0,77.2, (6/8/17 - 6/14/17), 6/8/17 , 6/14/17,55.8,29.4,19.6,6.8,4.2,6.2,2.2,68.4
ExportsofdomesticallysourcedLNGfromtheEastCoastexpectedin4Q2017,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/08_10/,82.5,73.2,5.9,0.0,79.1, (8/3/17 - 8/9/17), 8/3/17 , 8/9/17,59.6,33.0,19.8,6.8,4.4,6.4,1.8,72.3
IEnovacompletesconstructionontwopipelinesbringingPermiangasintoMexico,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/06_29/,80.7,71.6,5.7,0.0,77.2, (6/22/17 - 6/28/17), 6/22/17 , 6/28/17,56.6,29.4,19.7,7.5,4.4,6.3,1.6,68.8
RecordJulytemperaturesinCaliforniacoincidewithpriceriseatregionalnaturalgastradinghubs,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/07_27/,81.0,72.0,6.0,0.0,78.0, (7/20/17 - 7/26/17), 7/20/17 , 7/26/17,62.0,37.5,19.7,4.8,4.3,6.7,2.2,75.1
Mexicoderegulatesnaturalgasprices;worksonbuildingpricereportingsystemandmarkethubs,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/08_17/,82.3,73.0,5.5,0.0,78.6, (8/10/17 - 8/16/17), 8/10/17 , 8/16/17,59.9,33.5,19.6,6.8,4.3,6.4,1.8,72.4
U.S.ethaneproductionandexportsreachnewhigh,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/08_24/,82.0,72.8,5.9,0.1,78.7, (8/17/17 - 8/23/17), 8/17/17 , 8/23/17,62.3,35.6,19.5,7.2,4.3,6.7,1.9,75.2
"PuertoRicoselectricityserviceisslowtoreturnafterHurricaneMaria,leavingLNGimportsonhold",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/10_05/,82.6,73.9,5.8,0.1,79.7, (9/28/17 - 10/4/17), 9/28/17 , 10/4/17,52.7,25.7,19.8,7.1,4.2,5.8,2.0,64.7
FederalEnergyRegulatoryCommission(FERC)regainsquorum,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/08_31/,80.7,71.7,5.5,0.0,77.2, (8/24/17 - 8/30/17), 8/24/17 , 8/30/17,55.8,29.3,19.7,6.7,3.9,6.0,1.8,67.4
SouthernCalifornianaturalgaspipelineoutagepausesregionalstorageinjections,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/10_12/,80.8,72.4,5.9,0.0,78.4, (10/5/17 - 10/11/17), 10/5/17 , 10/11/17,56.5,28.7,19.4,8.4,4.3,6.2,2.8,69.8
EIAs,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/10_19/,82.2,73.7,5.7,0.0,79.4, (10/12/17 - 10/19/17), 10/12/17 , 10/19/17,57.1,25.4,20.0,11.7,4.3,6.3,3.0,70.6
SabinePassTrain4reachessubstantialcompletion,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/10_26/,83.2,74.6,5.8,0.0,80.4, (10/19/17 - 10/25/17), 10/19/17 , 10/25/17,56.4,23.8,20.1,12.4,4.3,6.2,3.0,69.9
"Permitting,drilling,andinfrastructureactivitiesincreaseasPennsylvaniasnaturalgasproductionreachesnewhighs",https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/11_02/,84.2,75.5,5.8,0.1,81.4, (10/26/17 - 11/1/17), 10/26/17 , 11/1/17,64.5,21.9,21.1,21.5,4.2,6.9,2.8,78.5
MostNortheastnaturalgaspipelineprojectscomingonlinethiswinterarefordeliverytotheMidwestandSoutheast,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/11_16/,84.4,75.9,6.1,0.2,82.2, (11/9/17 - 11/15/17), 11/9/17 , 11/15/17,75.2,23.1,21.6,30.5,4.5,7.1,2.8,89.6
Naturalgasstocksendrefillseasonjustbelowthefive-yearaverage,https://www.eia.gov/naturalgas/weekly/archivenew_ngwu/2017/11_09/,84.0,75.6,5.5,0.2,81.3, (11/2/17 - 11/8/17), 11/2/17 , 11/8/17,65.9,23.4,20.8,21.7,4.4,6.2,2.9,79.4
